utc,endpoint,head,occupancyCall
2026-08-19T16:47:08.114Z,CoinbasePub,45694870,127
2026-08-19T16:48:08.180Z,QuickNodeEP1,45694899,127
2026-08-19T16:48:08.180Z,CoinbasePub,45694900,127
2026-08-19T16:49:08.082Z,QuickNodeEP1,45694929,127
2026-08-19T16:49:08.082Z,CoinbasePub,45694930,127
2026-08-19T16:50:08.060Z,QuickNodeEP1,45694959,127
2026-08-19T16:50:08.060Z,CoinbasePub,45694960,127
2026-08-19T16:51:08.167Z,QuickNodeEP1,45694989,127
2026-08-19T16:51:08.167Z,CoinbasePub,45694990,127
2026-08-19T16:52:08.091Z,QuickNodeEP1,45695019,127
2026-08-19T16:52:08.091Z,CoinbasePub,45695020,127
2026-08-19T16:53:08.149Z,QuickNodeEP1,45695049,127
2026-08-19T16:53:08.149Z,CoinbasePub,45695050,127
2026-08-19T16:54:08.062Z,QuickNodeEP1,45695079,127
2026-08-19T16:54:08.062Z,CoinbasePub,45695080,127
2026-08-19T16:56:03.234Z,QuickNodeEP1,45695137,127
2026-08-19T16:56:03.234Z,CoinbasePub,45695137,127
2026-08-19T19:06:52.160Z,QuickNodeEP1,45699061,127
2026-08-19T19:06:52.160Z,CoinbasePub,45699062,HTTP 503
2026-08-19T19:07:34.178Z,QuickNodeEP1,45699082,127
2026-08-19T19:07:34.178Z,CoinbasePub,45699083,HTTP 503
2026-08-19T19:08:35.827Z,QuickNodeEP1,45699113,127
2026-08-19T19:08:35.827Z,CoinbasePub,45699113,127
2026-08-19T19:09:35.556Z,QuickNodeEP1,45699143,127
2026-08-19T19:09:35.556Z,CoinbasePub,45699143,127
2026-08-19T19:10:35.054Z,QuickNodeEP1,45699173,127
2026-08-19T19:10:35.054Z,CoinbasePub,45699173,127
2026-08-19T19:11:35.287Z,QuickNodeEP1,45699203,127
2026-08-19T19:11:35.287Z,CoinbasePub,45699203,127
2026-08-19T19:12:35.587Z,QuickNodeEP1,45699231,127
2026-08-19T19:12:35.587Z,CoinbasePub,45699231,HTTP 503
2026-08-19T19:13:35.358Z,QuickNodeEP1,45699263,127
2026-08-19T19:13:35.358Z,CoinbasePub,45699263,HTTP 503
2026-08-19T19:14:35.048Z,QuickNodeEP1,45699293,127
2026-08-19T19:14:35.048Z,CoinbasePub,45699293,HTTP 503
2026-08-19T19:15:35.074Z,QuickNodeEP1,45699323,127
2026-08-19T19:15:35.074Z,CoinbasePub,45699323,HTTP 503
2026-08-19T19:16:35.201Z,QuickNodeEP1,45699353,127
2026-08-19T19:16:35.201Z,CoinbasePub,45699353,127
2026-08-19T19:17:35.585Z,QuickNodeEP1,45699383,127
2026-08-19T19:17:35.585Z,CoinbasePub,45699383,127
2026-08-19T19:18:35.364Z,QuickNodeEP1,45699413,127
2026-08-19T19:18:35.364Z,CoinbasePub,45699413,HTTP 503
2026-08-19T19:19:35.045Z,QuickNodeEP1,45699443,127
2026-08-19T19:19:35.045Z,CoinbasePub,45699443,HTTP 503
2026-08-19T19:20:35.133Z,QuickNodeEP1,45699473,127
2026-08-19T19:20:35.133Z,CoinbasePub,45699473,127
2026-08-19T19:21:35.690Z,QuickNodeEP1,45699503,127
2026-08-19T19:21:35.690Z,CoinbasePub,45699503,127
2026-08-19T19:22:35.685Z,QuickNodeEP1,45699533,HTTP 503
2026-08-19T19:22:35.685Z,CoinbasePub,45699533,HTTP 503
2026-08-19T19:23:35.773Z,QuickNodeEP1,45699563,127
2026-08-19T19:23:35.773Z,CoinbasePub,45699563,127
2026-08-19T19:24:35.501Z,QuickNodeEP1,45699593,127
2026-08-19T19:24:35.501Z,CoinbasePub,45699593,127
2026-08-19T19:26:44.695Z,QuickNodeEP1,45699658,127
2026-08-19T19:26:44.695Z,CoinbasePub,45699658,HTTP 503
2026-08-19T19:27:46.144Z,QuickNodeEP1,45699688,HTTP 503
2026-08-19T19:27:46.144Z,CoinbasePub,45699689,HTTP 503
